X,Y,FID,OBJECTID,Site_Name,Site_Score,Site_EPA_ID,SEMS_ID,SITS_ID,Region_ID,State,City,County,Status,Longitude,Latitude,Proposed_Date,Listing_Date,Construction_Completion_Date,Construction_Completion_Number,NOID_Date,Deletion_Date,Site_Listing_Narrative,Site_Progress_Profile,Notice_of_Data_Availability,Proposed_FR_Notice,Deletion_FR_Notice,Final_FR_Notice,NOID_FR_Notice,Restoration_FR_Notice_Jumper_Pa,Site_has_had_a_Partial_Deletion,CreationDate,Creator,EditDate,Editor
-147.7038,64.8203,1,,Alaska Battery Enterprises,30.98,AKD004904215,1000017,1116,10,Alaska,Fairbanks North Star Borough,Fairbanks North Star,Deleted NPL Site,-147.7038,64.8203,06/24/1988,03/31/1989,03/02/1993,157,05/13/1996,07/26/1996,"<a href=""https://semspub.epa.gov/src/document/10/501000170"" target=""_blank"">AKD004904215 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=1000017"" target=""_blank"">Alaska Battery Enterprises</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1996-07-26/pdf/96-18839.pdf"" target=""_blank"">07/26/1996 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1996-05-13/pdf/96-11757.pdf"" target=""_blank"">05/13/1996 (PDF)</a>",,No,,,,
-147.6106,64.823,2,,Fort Wainwright,42.4,AK6210022426,1001146,1232,10,Alaska,Fairbanks North Star Borough,Fairbanks North Star,NPL Site,-147.6106,64.823,07/14/1989,08/30/1990,09/27/2002,844,,,"<a href=""https://semspub.epa.gov/src/document/10/501000182"" target=""_blank"">AK6210022426 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=1001146"" target=""_blank"">Fort Wainwright</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189650"" target=""_blank"">07/14/1989 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189637"" target=""_blank"">08/30/1990 (PDF)</a>",,,No,,,,
-149.7917,61.254169,3,,Elmendorf Air Force Base,45.91,AK8570028649,1000155,1233,10,Alaska,Greater Anchorage Borough,Anchorage,NPL Site,-149.7917,61.254169,07/14/1989,08/30/1990,,0,,,"<a href=""https://semspub.epa.gov/src/document/10/501000183"" target=""_blank"">AK8570028649 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=1000155"" target=""_blank"">Elmendorf Air Force Base</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189650"" target=""_blank"">07/14/1989 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189637"" target=""_blank"">08/30/1990 (PDF)</a>",,,No,,,,
-149.8324,61.2279,4,,Standard Steel & Metal Salvage Yard (USDOT),46.25,AKD980978787,1000073,1234,10,Alaska,Anchorage,Anchorage,Deleted NPL Site,-149.8324,61.2279,07/14/1989,08/30/1990,09/16/1999,631,08/14/2002,09/30/2002,"<a href=""https://semspub.epa.gov/src/document/10/501000184"" target=""_blank"">AKD980978787 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=1000073"" target=""_blank"">Standard Steel & Metal Salvage Yard (USDOT)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189650"" target=""_blank"">07/14/1989 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2002-09-30/pdf/02-24640.pdf"" target=""_blank"">09/30/2002 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189637"" target=""_blank"">08/30/1990 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2002-08-14/pdf/02-20351.pdf"" target=""_blank"">08/14/2002 (PDF)</a>",,No,,,,
-147.0492,64.67145,5,,Eielson Air Force Base,48.14,AK1570028646,1000110,1237,10,Alaska,Fairbanks North Star Borough,Fairbanks North Star,NPL Site,-147.0492,64.67145,07/14/1989,11/21/1989,09/30/1998,584,,,"<a href=""https://semspub.epa.gov/src/document/10/501000187"" target=""_blank"">AK1570028646 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=1000110"" target=""_blank"">Eielson Air Force Base</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189650"" target=""_blank"">07/14/1989 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189634"" target=""_blank"">11/21/1989 (PDF)</a>",,,No,,,,
-147.5643,64.8122,6,,Arctic Surplus,42.24,AKD980988158,1000082,1284,10,Alaska,Fairbanks,Fairbanks North Star,Deleted NPL Site,-147.5643,64.8122,10/26/1989,08/30/1990,04/18/2005,932,07/27/2006,09/25/2006,"<a href=""https://semspub.epa.gov/src/document/10/501000192"" target=""_blank"">AKD980988158 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=1000082"" target=""_blank"">Arctic Surplus</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189651"" target=""_blank"">10/26/1989 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2006-07-27/pdf/E6-11809.pdf"" target=""_blank"">09/25/2006 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189637"" target=""_blank"">08/30/1990 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2006-07-27/pdf/E6-11811.pdf"" target=""_blank"">07/27/2006 (PDF)</a>",,No,,,,
-176.6525,51.8775,7,,Adak Naval Air Station,51.37,AK4170024323,1000128,1358,10,Alaska,Adak,Aleutians West,NPL Site,-176.6525,51.8775,10/14/1992,05/31/1994,,0,,,"<a href=""https://semspub.epa.gov/src/document/10/501000199"" target=""_blank"">AK4170024323 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=1000128"" target=""_blank"">Adak Naval Air Station</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189654"" target=""_blank"">10/14/1992 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189638"" target=""_blank"">05/31/1994 (PDF)</a>",,,No,,,,
-149.7,61.258333,8,,Fort Richardson (USARMY),50,AK6214522157,1001455,1401,10,Alaska,Anchorage,Anchorage,NPL Site,-149.7,61.258333,06/23/1993,05/31/1994,09/28/2006,996,,,"<a href=""https://semspub.epa.gov/src/document/10/501000206"" target=""_blank"">AK6214522157 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=1001455"" target=""_blank"">Fort Richardson (USARMY)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189656"" target=""_blank"">06/23/1993 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189638"" target=""_blank"">05/31/1994 (PDF)</a>",,,No,,,,
-132.558853,55.626442,9,,Salt Chuck Mine,50,AK0001897602,1001984,1812,10,Alaska,Thorne Bay,Outer Ketchikan,NPL Site,-132.558853,55.626442,09/23/2009,03/04/2010,,0,,,"<a href=""https://semspub.epa.gov/src/document/10/501000022"" target=""_blank"">AK0001897602 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=1001984"" target=""_blank"">Salt Chuck Mine</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2009-09-23/pdf/E9-22936.pdf"" target=""_blank"">09/23/2009 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2010-03-04/pdf/2010-4304.pdf"" target=""_blank"">03/04/2010 (PDF)</a>",,,No,,,,
-86.61305,31.831669,10,,Mowbray Engineering Co.,53.67,ALD031618069,404343,382,4,Alabama,Greenville,Butler,Deleted NPL Site,-86.61305,31.831669,12/30/1982,09/08/1983,09/16/1991,58,08/26/1993,12/30/1993,"<a href=""https://semspub.epa.gov/src/document/04/11121404"" target=""_blank"">ALD031618069 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0404343"" target=""_blank"">Mowbray Engineering Co.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/04/11121527"" target=""_blank"">12/30/1993 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/04/11121120"" target=""_blank"">08/26/1993 (PDF)</a>",,No,,,,
-87.625,31.0125,11,,Perdido Ground Water Contamination,30.29,ALD980728703,404345,383,4,Alabama,Perdido,Baldwin,Deleted NPL Site,-87.625,31.0125,12/30/1982,09/08/1983,07/30/1993,174,03/17/2017,05/16/2017,"<a href=""https://semspub.epa.gov/src/document/04/11121405"" target=""_blank"">ALD980728703 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0404345"" target=""_blank"">Perdido Ground Water Contamination</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2017-03-17/pdf/2017-05290.pdf"" target=""_blank"">05/16/2017 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2017-03-17/pdf/2017-05289.pdf"" target=""_blank"">03/17/2017 (PDF)</a>",,No,,,,
-86.638194,34.508888,12,,Triana/Tennessee River,61.42,ALD983166299,405546,384,4,Alabama,"Limestone, Morgan","Limestone, Madison, Morgan",NPL Site,-86.638194,34.508888,12/30/1982,09/08/1983,12/18/1991,62,,,"<a href=""https://semspub.epa.gov/src/document/04/11121406"" target=""_blank"">ALD983166299 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0405546"" target=""_blank"">Triana/Tennessee River</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,No,,,,
-87.9955,31.279,13,,Ciba-Geigy Corp. (McIntosh Plant),53.42,ALD001221902,400073,385,4,Alabama,McIntosh,Washington,NPL Site,-87.9955,31.279,09/08/1983,09/21/1984,07/19/2000,702,,,"<a href=""https://semspub.epa.gov/src/document/04/11121407"" target=""_blank"">ALD001221902 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400073"" target=""_blank"">Ciba-Geigy Corp. (McIntosh Plant)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>",,,No,,,,
-87.99445,31.263889,14,,Olin Corp. (McIntosh Plant),39.71,ALD008188708,400153,386,4,Alabama,McIntosh,Washington,NPL Site,-87.99445,31.263889,09/08/1983,09/21/1984,,0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121408"" target=""_blank"">ALD008188708 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400153"" target=""_blank"">Olin Corp. (McIntosh Plant)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>",,,No,,,,
-88.0175,30.969439,15,,Stauffer Chemical Co. (LeMoyne Plant),32.34,ALD008161176,400144,387,4,Alabama,Axis,Mobile,NPL Site,-88.0175,30.969439,09/08/1983,09/21/1984,,0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121409"" target=""_blank"">ALD008161176 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400144"" target=""_blank"">Stauffer Chemical Co. (LeMoyne Plant)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>",,,No,,,,
-88.021389,30.975,16,,Stauffer Chemical Co. (Cold Creek Plant),46.77,ALD095688875,400306,388,4,Alabama,Bucks,Mobile,NPL Site,-88.021389,30.975,09/08/1983,09/21/1984,,0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121410"" target=""_blank"">ALD095688875 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400306"" target=""_blank"">Stauffer Chemical Co. (Cold Creek Plant)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>",,,No,,,,
