,Site_Name,Site_Score,SITS_ID,Longitude,Latitude
0,Alaska Battery Enterprises,30.98,1116,-147.7038,64.8203
1,Fort Wainwright,42.4,1232,-147.6106,64.82300000000001
2,Elmendorf Air Force Base,45.91,1233,-149.7917,61.254169
3,Standard Steel & Metal Salvage Yard (USDOT),46.25,1234,-149.8324,61.2279
4,Eielson Air Force Base,48.14,1237,-147.0492,64.67145
5,Arctic Surplus,42.24,1284,-147.5643,64.8122
6,Adak Naval Air Station,51.37,1358,-176.6525,51.8775
7,Fort Richardson (USARMY),50.0,1401,-149.7,61.25833299999999
8,Salt Chuck Mine,50.0,1812,-132.558853,55.626442000000004
9,Mowbray Engineering Co.,53.67,382,-86.61305,31.831669
10,Perdido Ground Water Contamination,30.29,383,-87.625,31.0125
11,Triana/Tennessee River,61.42,384,-86.638194,34.508888
12,Ciba-Geigy Corp. (McIntosh Plant),53.42,385,-87.9955,31.279
13,Olin Corp. (McIntosh Plant),39.71,386,-87.99445,31.263889000000002
14,Stauffer Chemical Co. (LeMoyne Plant),32.34,387,-88.0175,30.969439
15,Stauffer Chemical Co. (Cold Creek Plant),46.77,388,-88.021389,30.975
16,Alabama Army Ammunition Plant,36.83,390,-86.3268,33.3381
17,Interstate Lead Co. (ILCO),42.86,391,-86.633333,33.688889
18,"Redwing Carriers, Inc. (Saraland)",30.83,1121,-88.073061,30.808331
19,T.H. Agriculture & Nutrition Co. (Montgomery Plant),44.46,1194,-86.3791,32.3761
20,Redstone Arsenal (USARMY/NASA),50.0,1396,-86.673055,34.646944
21,American Brass,55.61,1538,-85.404167,31.325
22,Capitol City Plume,50.0,1593,-86.306,32.382
23,"Alabama Plating Company, Inc.",30.2,1610,-86.405,33.399722
24,Anniston Army Depot (Southeast Industrial Area),51.91,1690,-85.96943900000001,33.659439
25,35th Avenue,50.0,1897,-86.79967099999999,33.557464
26,Cecil Lindsey,35.6,743,-91.2255,35.6349
27,Gurley Pit,40.13,745,-90.3116,35.1209
28,Industrial Waste Control,30.31,746,-94.3525,35.2402
29,Mid-South Wood Products,45.87,747,-94.2566,34.5697
30,Midland Products,30.77,748,-93.203889,35.025
31,"Vertac, Inc.",65.46,749,-92.1312,34.878
32,"Arkwood, Inc.",28.95,750,-93.1964,36.445
33,Jacksonville Municipal Landfill,29.64,751,-92.07166099999999,34.863331
34,Rogers Road Municipal Landfill,29.64,752,-92.0778,34.8627
35,Monroe Auto Equipment Co. (Paragould Pit),46.01,1292,-90.575,36.020831
36,Frit Industries,39.47,1294,-90.94166899999999,36.105
37,South 8th Street Landfill,50.27,1346,-90.169444,35.124444
38,"Popile, Inc.",50.03,1347,-92.673333,33.1825
39,Mountain Pine Pressure Treating,41.93,1556,-93.302222,34.984167
40,Ouachita Nevada Wood Treater,50.0,1583,-93.104258,33.759453
41,Cedar Chemical Corporation,0.0,1863,-90.6517,34.5206
42,MacMillan Ring Free Oil,50.0,1884,-92.65688,33.30836
43,Taputimu Farm,0.0,894,-170.77200000000002,-14.3601
44,Indian Bend Wash Area,42.24,895,-111.9083,33.466669
45,Phoenix-Goodyear Airport Area,45.91,897,-112.3653,33.429719
46,Mountain View Mobile Home Estates,0.0,898,-110.7332,33.3728
47,Tucson International Airport Area,57.8,899,-110.9333,32.105561
48,Nineteenth Avenue Landfill,54.27,900,-112.0917,33.416669
49,Hassayampa Landfill,42.79,902,-112.7483,33.368331
50,Luke Air Force Base,37.93,1135,-112.3567,33.54
51,Yuma Marine Corps Air Station,32.24,1138,-114.5888,32.654581
52,Williams Air Force Base,37.93,1263,-111.6519,33.30695
53,"Motorola, Inc. (52nd Street Plant)",40.83,1703,-111.9708,33.461669
54,Apache Powder Co.,39.09,1704,-110.24,31.88
55,Iron King Mine - Humboldt Smelter,52.69,1779,-112.25,34.5
56,Aerojet General Corp.,54.63,905,-121.2,38.608331
57,Celtor Chemical Works,30.31,906,-123.6911,41.1027
58,Coast Wood Preserving,44.73,907,-123.193,39.1125
59,Iron Mountain Mine,56.16,908,-122.5278,40.671669
60,Jibboom Junkyard,28.94,909,-121.5033,38.591669
61,Liquid Gold Oil Corp.,43.32,910,-122.325,37.908333
62,McColl,41.77,911,-117.9712,33.8953
63,MGM Brakes,34.7,912,-123.0109,38.784
64,"Purity Oil Sales, Inc.",43.27,913,-119.7467,36.6874
65,Selma Treating Co.,48.83,914,-119.6017,36.556669
66,Stringfellow,0.0,915,-117.45833,34.023056
67,Westinghouse Electric Corp. (Sunnyvale Plant),39.93,916,-122.0225,37.3787
68,"Valley Wood Preserving, Inc.",32.01,918,-120.8239,37.4727
69,"Koppers Co., Inc. (Oroville Plant)",33.73,919,-121.5643,39.470831
70,McClellan Air Force Base (Ground Water Contamination),57.93,920,-121.3994,38.66
71,Atlas Asbestos Mine,45.55,921,-120.5867,36.321669
72,Coalinga Asbestos Mine,45.55,922,-120.5283,36.31
73,Del Norte Pesticide Storage,35.79,923,-124.2317,41.773331
74,San Gabriel Valley (Area 1),42.24,924,-118.0,34.125
75,San Gabriel Valley (Area 2),42.24,925,-117.9361,34.073611
76,San Gabriel Valley (Area 3),28.9,926,-118.125,34.1
77,San Gabriel Valley (Area 4),28.9,927,-117.9583,34.016669
78,South Bay Asbestos Area,44.68,931,-121.9811,37.429860999999995
79,"Operating Industries, Inc., Landfill",57.22,932,-118.105556,34.033333
80,San Fernando Valley (Area 1),42.24,933,-118.3514,34.19
81,San Fernando Valley (Area 2),42.24,934,-118.286,34.163139
82,San Fernando Valley (Area 3),42.24,935,-118.4135,34.2276
83,San Fernando Valley (Area 4),35.57,936,-118.2539,34.112080999999996
84,Montrose Chemical Corp.,32.1,937,-118.2983,33.848331
